Latitude,Longitude,Label
28.55563,77.09519,DEL
19.08869934,72.86789703,BOM
12.990005,80.169296,MAA
13.1979,77.706299,BLR
15.3808,73.831398,GOI
22.65469933,88.44670105,CCU
17.231318,78.429855,HYD
10.152,76.401901,COK
23.07719994,72.63469696,AMD
8.48211956,76.92009735,TRV
26.8242,75.812202,JAI
18.5821,73.919701,PNQ
12.95,77.668198,HAL*
31.7096,74.797302,ATQ
22.336201,73.226303,BDQ
12.9612999,74.89009857,IXE
25.452129,82.861805,VNS
20.24440002,85.81780243,BBI
26.10610008,91.58589935,GAU
17.723506,83.227729,VTZ
11.1368,75.955299,CCJ
17.4531,78.467598,BPM
11.02999973,77.04340363,CJB
26.25110054,73.04889679,JDH
9.83450985,78.09339905,IXM
22.72179985,75.80110168,IDR
26.76059914,80.88929749,LKO
25.591299,85.087997,PAT
30.6735,76.788498,IXC
11.641208,92.729643,IXZ
26.68120003,88.32859802,IXB
24.61770058,73.89610291,UDR
34.135899,77.546501,IXL
21.092199,79.047203,NAG
21.1140995,72.7417984,STV
23.28779984,69.67019653,BHJ
16.530399,80.796799,VGA
33.987099,74.7742,SXR
23.886999,91.240402,IXA
19.86269951,75.39810181,IXU
23.28750038,77.33740234,BHO
24.76000023,93.896698,IMF
32.688849,74.838152,IXJ
23.31430054,85.32170105,IXR
26.73150063,94.17549896,JRH
22.30920029,70.77950287,RAJ
24.91290092,92.97869873,IXS
10.8237,72.176003,AGX
27.157683,77.960942,AGR
27.48390007,95.01689911,DIB
21.526817,80.290347,GDB
20.119101,73.912903,ISK
30.368099,76.816704,AMB*
31.876699,77.154404,KUU
14.14929962,77.79109955,PUT
22.46549988,70.01260376,JGA
17.105799,81.813204,RJA
25.4401,81.733902,IXD
11.918614,75.547211,CNN
26.404301,80.410103,KNU
24.8172,79.918602,HJR
22.813786,86.169739,IXW
26.70910072,92.78469849,TEZ
24.74430084,84.95120239,GAY
23.17779922,80.05200195,JLR
15.8593,74.618301,IXG
21.75219917,72.18520355,BHU
30.189243,78.176651,DED
21.649524,69.656405,PBD
25.70359993,91.97869873,SHL
10.766223,78.71774,TRZ
23.840599,92.619698,AJL
23.6225,87.243,RDP
32.1651,76.263397,DHM
15.36170006,75.0848999,HBX
19.688752,74.377354,SAG
32.233611,75.634444,IXP
11.968,79.812,PNY
23.83399963,86.4253006,DBD
29.17939949,75.75530243,HSS
29.56060028,75.00610352,SIR*
30.27009964,74.75579834,BUP
26.88870049,70.86499786,JSA
23.47430038,87.42749786,PAN*
15.16279984,76.88279724,BEP
17.9081,77.487099,IXX
17.62719917,78.40339661,DUN*
24.308657,92.00768,IXH
21.317101,70.270401,IXK
25.16020012,75.84559631,KTU
24.503401,81.220299,REW
22.256571,84.815193,RRK
16.66469955,74.28939819,KLH
25.88389969,93.77110291,DMU
26.29330063,78.22779846,GWL
27.2955,94.097603,IXI
26.591007,74.812956,KQH
21.9884,82.111,PAB
26.73970032,83.4496994,GOP
14.513154,78.769183,CDP
23.1127,70.100304,IXY
18.411501,76.464699,LTU
15.744257,73.860625,GOX
19.18330002,77.3167038,NDC
15.716288,78.16923,KJB
29.0334,79.473701,PGH
28.1753006,94.80200195,IXV
17.013599,73.327797,RTC
30.85470009,75.95259857,LUH
20.698931,77.056883,AKD
28.42210007,79.45079803,BEK
13.07674,77.597645,JAK*
28.07060051,73.2071991,BKB
7.01304,93.922798,CAM*
20.434401,72.843201,NMB
26.96683,93.638792,HGI
9.153056,92.819273,CBD
26.69829941,89.36910248,HAS*
26.776534,83.889214,KBK
26.119101,85.313698,MZU
28.585453,77.203563,SAF*
11.7833004,78.06559753,SXV
17.62800026,75.93479919,SSE
32.902152,75.155709,UDH*
27.588301,93.828102,ZER
